cve_id,description,severity,score
CVE-1999-0214,Denial of service by sending forged ICMP unreachable packets.,HIGH,10.0
CVE-1999-1396,Vulnerability in integer multiplication emulation code on SPARC architectures for SunOS 4.1 through 4.1.2 allows local users to gain root access or cause a denial of service (crash).,HIGH,7.2
CVE-1999-1395,Vulnerability in Monitor utility (SYS$SHARE:SPISHR.EXE) in VMS 5.0 through 5.4-2 allows local users to gain privileges.,HIGH,7.2
CVE-1999-1306,"Cisco IOS 9.1 and earlier does not properly handle extended IP access lists when the IP route cache is enabled and the ""established"" keyword is set, which could allow attackers to bypass filters.",HIGH,7.5
CVE-1999-1466,"Vulnerability in Cisco routers versions 8.2 through 9.1 allows remote attackers to bypass access control lists when extended IP access lists are used on certain interfaces, the IP route cache is enabled, and the access list uses the ""established"" keyword.",HIGH,7.5
CVE-1999-1021,"NFS on SunOS 4.1 through 4.1.2 ignores the high order 16 bits in a 32 bit UID, which allows a local user to gain root access if the lower 16 bits are set to 0, as fixed by the NFS jumbo patch upgrade.",HIGH,7.2
CVE-1999-1056,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: CVE-1999-1395.  Reason: This candidate is a duplicate of CVE-1999-1395.  Notes: All CVE users should reference CVE-1999-1395 instead of this candidate.  All references and descriptions in this candidate have been removed to prevent accidental usage,UNKNOWN,
CVE-1999-0312,HP ypbind allows attackers with root privileges to modify NIS data.,MEDIUM,5.0
CVE-1999-1507,Sun SunOS 4.1 through 4.1.3 allows local attackers to gain root access via insecure permissions on files and directories such as crash.,HIGH,7.2
CVE-1999-1218,Vulnerability in finger in Commodore Amiga UNIX 2.1p2a and earlier allows local users to read arbitrary files.,LOW,2.1
CVE-1999-1312,"Vulnerability in DEC OpenVMS VAX 5.5-2 through 5.0, and OpenVMS AXP 1.0, allows local users to gain system privileges.",HIGH,7.2
CVE-1999-1216,"Cisco routers 9.17 and earlier allow remote attackers to bypass security restrictions via certain IP source routed packets that should normally be denied using the ""no ip source-route"" command.",HIGH,7.5
CVE-1999-1162,Vulnerability in passwd in SCO UNIX 4.0 and earlier allows attackers to cause a denial of service by preventing users from being able to log into the system.,MEDIUM,6.4
CVE-1999-0124,Vulnerabilities in UMN gopher and gopher+ versions 1.12 and 2.0x allow an intruder to read any files that can be accessed by the gopher daemon.,HIGH,10.0
CVE-1999-1215,"LOGIN.EXE program in Novell Netware 4.0 and 4.01 temporarily writes user name and password information to disk, which could allow local users to gain privileges.",MEDIUM,4.6
CVE-1999-1138,"SCO UNIX System V/386 Release 3.2, and other SCO products, installs the home directories (1) /tmp for the dos user, and (2) /usr/tmp for the asg user, which allows other users to gain access to those accounts since /tmp and /usr/tmp are world-writable.",HIGH,10.0
CVE-1999-1318,"/usr/5bin/su in SunOS 4.1.3 and earlier uses a search path that includes the current working directory (.), which allows local users to gain privileges via Trojan horse programs.",HIGH,7.2
CVE-1999-0145,"Sendmail WIZ command enabled, allowing root access.",HIGH,7.2
CVE-1999-1137,"The permissions for the /dev/audio device on Solaris 2.2 and earlier, and SunOS 4.1.x, allow any local user to read from the device, which could be used by an attacker to monitor conversations happening near a machine that has a microphone.",LOW,2.1
CVE-1999-0334,"In Solaris 2.2 and 2.3, when fsck fails on startup, it allows a local user with physical access to obtain root access.",HIGH,7.2
CVE-1999-0181,"The wall daemon can be used for denial of service, social engineering attacks, or to execute remote commands.",MEDIUM,6.8
CVE-1999-1242,Vulnerability in subnetconfig in HP-UX 9.01 and 9.0 allows local users to gain privileges.,MEDIUM,4.6
CVE-1999-0211,Extra long export lists over 256 characters in some mount daemons allows NFS directories to be mounted by anyone.,MEDIUM,5.0
CVE-1999-0338,AIX Licensed Program Product performance tools allow local users to gain root access.,HIGH,7.2
CVE-1999-0120,Sun/Solaris utmp file allows local users to gain root access if it is writable by users other than root.,HIGH,7.2
CVE-1999-1135,"Vulnerability in VUE 3.0 in HP 9.x allows local users to gain root privileges, as fixed by PHSS_4994 and PHSS_5438.",HIGH,7.2
CVE-1999-1146,Vulnerability in Glance and gpm programs in GlancePlus for HP-UX 9.x and earlier allows local users to access arbitrary files and gain privileges.,HIGH,7.2
CVE-1999-1388,passwd in SunOS 4.1.x allows local users to overwrite arbitrary files via a symlink attack and the -F command line argument.,MEDIUM,6.2
CVE-1999-1134,"Vulnerability in Vue 3.0 in HP 9.x allows local users to gain root privileges, as fixed by PHSS_4038, PHSS_4055, and PHSS_4066.",HIGH,7.2
CVE-1999-0113,Some implementations of rlogin allow root access if given a -froot parameter.,HIGH,10.0
CVE-1999-0423,Vulnerability in hpterm on HP-UX 10.20 allows local users to gain additional privileges.,MEDIUM,4.6
CVE-1999-0337,AIX batch queue (bsh) allows local and remote users to gain additional privileges when network printing is enabled.,HIGH,7.5
CVE-1999-0207,"Remote attacker can execute commands through Majordomo using the Reply-To field and a ""lists"" command.",HIGH,7.5
CVE-1999-1239,"HP-UX 9.x does not properly enable the Xauthority mechanism in certain conditions, which could allow local users to access the X display even when they have not explicitly been authorized to do so.",MEDIUM,4.6
CVE-1999-1552,"dpsexec (DPS Server) when running under XDM in IBM AIX 3.2.5 and earlier does not properly check privileges, which allows local users to overwrite arbitrary files and gain privileges.",HIGH,7.2
CVE-1999-1494,"colorview in Silicon Graphics IRIX 5.1, 5.2, and 6.0 allows local attackers to read arbitrary files via the -text argument.",LOW,2.1
CVE-1999-1219,"Vulnerability in sgihelp in the SGI help system and print manager in IRIX 5.2 and earlier allows local users to gain root privileges, possibly through the clogin command.",HIGH,7.2
CVE-1999-1238,Vulnerability in CORE-DIAG fileset in HP message catalog in HP-UX 9.05 and earlier allows local users to gain privileges.,MEDIUM,4.6
CVE-1999-1022,"serial_ports administrative program in IRIX 4.x and 5.x trusts the user's PATH environmental variable to find and execute the ls program, which allows local users to gain root privileges via a Trojan horse ls program.",MEDIUM,6.2
CVE-1999-1310,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: CVE-1999-1022.  Reason: This candidate is a duplicate of CVE-1999-1022.  Notes: All CVE users should reference CVE-1999-1022 instead of this candidate.  All references and descriptions in this candidate have been removed to prevent accidental usage,UNKNOWN,
CVE-1999-1248,Vulnerability in Support Watch (aka SupportWatch) in HP-UX 8.0 through 9.0 allows local users to gain privileges.,MEDIUM,4.6
CVE-1999-1302,Unspecified vulnerability in pt_chmod in SCO UNIX 4.2 and earlier allows local users to gain root access.,HIGH,7.2
CVE-1999-1303,Vulnerability in prwarn in SCO UNIX 4.2 and earlier allows local users to gain root access.,HIGH,7.2
CVE-1999-1304,Vulnerability in login in SCO UNIX 4.2 and earlier allows local users to gain root access.,HIGH,7.2
CVE-1999-1305,"Vulnerability in ""at"" program in SCO UNIX 4.2 and earlier allows local users to gain root access.",HIGH,7.2
CVE-2000-0508,rpc.lockd in Red Hat Linux 6.1 and 6.2 allows remote attackers to cause a denial of service via a malformed request.,MEDIUM,5.0
CVE-1999-0077,Predictable TCP sequence numbers allow spoofing.,MEDIUM,5.0
CVE-1999-0232,Buffer overflow in NCSA WebServer (version 1.5c) gives remote access.,HIGH,10.0
CVE-1999-0235,Buffer overflow in NCSA WebServer (1.4.1 and below) gives remote access.,HIGH,10.0
CVE-1999-0242,Remote attackers can access mail files via POP3 in some Linux systems that are using shadow passwords.,HIGH,7.5
CVE-1999-1098,Vulnerability in BSD Telnet client with encryption and Kerberos 4 authentication allows remote attackers to decrypt the session via sniffing.,MEDIUM,5.0
CVE-1999-1243,SGI Desktop Permissions Tool in IRIX 6.0.1 and earlier allows local users to modify permissions for arbitrary files and gain privileges.,MEDIUM,4.6
CVE-1999-0151,"The SATAN session key may be disclosed if the user points the web browser to other sites, possibly allowing root access.",HIGH,7.6
CVE-1999-1080,"rmmount in SunOS 5.7 may mount file systems without the nosuid flag set, contrary to the documentation and its use in previous versions of SunOS, which could allow local users with physical access to gain root privileges by mounting a floppy or CD-ROM that contains a setuid program and running volcheck, when the file systems do not have the nosuid option specified in rmmount.conf.",HIGH,7.2
CVE-1999-0066,AnyForm CGI remote execution.,CRITICAL,9.8
CVE-1999-0161,"In Cisco IOS 10.3, with the tacacs-ds or tacacs keyword, an extended IP access control list could bypass filtering.",HIGH,7.5
CVE-1999-0172,FormMail CGI program allows remote execution of commands.,HIGH,7.5
CVE-1999-0203,"In Sendmail, attackers can gain root privileges via SMTP by specifying an improper ""mail from"" address and an invalid ""rcpt to"" address that would cause the mail to bounce to a program.",HIGH,10.0
CVE-1999-1580,"SunOS sendmail 5.59 through 5.65 uses popen to process a forwarding host argument, which allows local users to gain root privileges by modifying the IFS (Internal Field Separator) variable and passing crafted values to the -oR option.",HIGH,7.2
CVE-1999-0164,A race condition in the Solaris ps command allows an attacker to overwrite critical files.,MEDIUM,6.2
CVE-1999-0155,The ghostscript command with the -dSAFER option allows remote attackers to execute commands.,HIGH,7.5
CVE-1999-0245,"Some configurations of NIS+ in Linux allowed attackers to log in as the user ""+"".",MEDIUM,4.6
CVE-1999-0218,Livingston portmaster machines could be rebooted via a series of commands.,MEDIUM,5.0
CVE-1999-0073,"Telnet allows a remote client to specify environment variables including LD_LIBRARY_PATH, allowing an attacker to bypass the normal system libraries and gain root access.",HIGH,10.0
CVE-1999-0099,Buffer overflow in syslog utility allows local or remote attackers to gain root privileges.,HIGH,10.0
CVE-1999-0241,"Guessable magic cookies in X Windows allows remote attackers to execute commands, e.g. through xterm.",HIGH,10.0
CVE-1999-0080,"Certain configurations of wu-ftp FTP server 2.4 use a _PATH_EXECPATH setting to a directory with dangerous commands, such as /bin, which allows remote authenticated users to gain root access via the ""site exec"" command.",HIGH,10.0
CVE-1999-0123,Race condition in Linux mailx command allows local users to read user files.,LOW,3.7
CVE-1999-0316,Buffer overflow in Linux splitvt command gives root access to local users.,HIGH,7.2
CVE-1999-0325,vhe_u_mnt program in HP-UX allows local users to create root files through symlinks.,HIGH,7.2
CVE-1999-0208,rpc.ypupdated (NIS) allows remote users to execute arbitrary commands.,HIGH,10.0
CVE-1999-1186,"rxvt, when compiled with the PRINT_PIPE option in various Linux operating systems including Linux Slackware 3.0 and RedHat 2.1, allows local users to gain root privileges by specifying a malicious program using the -print-pipe command line parameter.",HIGH,7.2
CVE-1999-1319,Vulnerability in object server program in SGI IRIX 5.2 through 6.1 allows remote attackers to gain root privileges in certain configurations.,HIGH,10.0
CVE-1999-1491,"abuse.console in Red Hat 2.1 uses relative pathnames to find and execute the undrv program, which allows local users to execute arbitrary commands via a path that points to a Trojan horse program.",HIGH,7.2
CVE-1999-0103,"Echo and chargen, or other combinations of UDP services, can be used in tandem to flood the server, a.k.a. UDP bomb or UDP packet storm.",MEDIUM,5.0
CVE-1999-0143,Kerberos 4 key servers allow a user to masquerade as another by breaking and generating session keys.,MEDIUM,4.6
CVE-1999-0233,IIS 1.0 allows users to execute arbitrary commands using .bat or .cmd files.,HIGH,10.0
CVE-1999-0142,The Java Applet Security Manager implementation in Netscape Navigator 2.0 and Java Developer's Kit 1.0 allows an applet to connect to arbitrary hosts.,HIGH,7.5
CVE-1999-0067,phf CGI program allows remote command execution through shell metacharacters.,HIGH,10.0
CVE-1999-0141,Java Bytecode Verifier allows malicious applets to execute arbitrary commands as the user of the applet.,LOW,3.7
CVE-1999-0070,test-cgi program allows an attacker to list files on the server.,MEDIUM,5.0
CVE-1999-1103,dxconsole in DEC OSF/1 3.2C and earlier allows local users to read arbitrary files by specifying the file with the -file parameter.,MEDIUM,4.6
CVE-1999-0078,"pcnfsd (aka rpc.pcnfsd) allows local users to change file permissions, or execute arbitrary commands through arguments in the RPC call.",LOW,1.9
CVE-1999-0019,"Delete or create a file via rpc.statd, due to invalid information.",MEDIUM,5.0
CVE-1999-1314,"Vulnerability in union file system in FreeBSD 2.2 and earlier, and possibly other operating systems, allows local users to cause a denial of service (system reload) via a series of certain mount_union commands.",LOW,2.1
CVE-1999-1313,Manual page reader (man) in FreeBSD 2.2 and earlier allows local users to gain privileges via a sequence of commands.,MEDIUM,4.6
CVE-1999-0522,The permissions for a system-critical NIS+ table (e.g. passwd) are inappropriate.,HIGH,7.2
CVE-1999-0509,"Perl, sh, csh, or other shell interpreters are installed in the cgi-bin directory on a WWW site, which allows remote attackers to execute arbitrary commands.",HIGH,10.0
CVE-1999-1205,"nettune in HP-UX 10.01 and 10.00 is installed setuid root, which allows local users to cause a denial of service by modifying critical networking configuration information.",LOW,2.1
CVE-1999-1253,"Vulnerability in a kernel error handling routine in SCO OpenServer 5.0.2 and earlier, and SCO Internet FastStart 1.0, allows local users to gain root privileges.",HIGH,7.2
CVE-1999-0138,"The suidperl and sperl program do not give up root privileges when changing UIDs back to the original users, allowing root access.",HIGH,7.2
CVE-1999-0175,The convert.bas program in the Novell web server allows a remote attackers to read any file on the system that is internally accessible by the web server.,MEDIUM,5.0
CVE-1999-0022,"Local user gains root privileges via buffer overflow in rdist, via expstr() function.",HIGH,7.8
CVE-1999-0137,The dip program on many Linux systems allows local users to gain root access via a buffer overflow.,HIGH,7.2
CVE-1999-1301,"A design flaw in the Z-Modem protocol allows the remote sender of a file to execute arbitrary programs on the client, as implemented in rz in the rzsz module of FreeBSD before 2.1.5, and possibly other programs.",HIGH,7.5
CVE-1999-1572,"cpio on FreeBSD 2.1.0, Debian GNU/Linux 3.0, and possibly other operating systems, uses a 0 umask when creating files using the -O (archive) or -F options, which creates the files with mode 0666 and allows local users to read or overwrite those files.",LOW,2.1
CVE-1999-0023,"Local user gains root privileges via buffer overflow in rdist, via lookup() function.",HIGH,7.2
CVE-1999-0135,admintool in Solaris allows a local user to write to arbitrary files and gain root access.,HIGH,7.2
CVE-1999-0136,Kodak Color Management System (KCMS) on Solaris allows a local user to write to arbitrary files and gain root access.,HIGH,7.2
CVE-1999-0335,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: CVE-1999-0032. Reason: This candidate is a duplicate of CVE-1999-0032. Notes: All CVE users should reference CVE-1999-0032 instead of this candidate. All references and descriptions in this candidate have been removed to prevent accidental usage,UNKNOWN,
CVE-1999-1413,"Solaris 2.4 before kernel jumbo patch -35 allows set-gid programs to dump core even if the real user id is not in the set-gid group, which allows local users to overwrite or create files at higher privileges by causing a core dump, e.g. through dmesg.",MEDIUM,4.6
CVE-1999-0134,vold in Solaris 2.x allows local users to gain root access.,HIGH,7.2
CVE-1999-0133,fm_fls license server for Adobe Framemaker allows local users to overwrite arbitrary files and gain root access.,LOW,2.1
CVE-1999-0132,"Expreserve, as used in vi and ex, allows local users to overwrite arbitrary files and gain root access.",LOW,2.1
CVE-1999-0085,Buffer overflow in rwhod on AIX and other operating systems allows remote attackers to execute arbitrary code via a UDP packet with a long hostname.,HIGH,7.5
CVE-1999-1187,Pine before version 3.94 allows local users to gain privileges via a symlink attack on a lockfile that is created when a user receives new mail.,MEDIUM,4.6
CVE-1999-1309,Sendmail before 8.6.7 allows local users to gain root access via a large value in the debug (-d) command line option.,HIGH,7.2
CVE-1999-0324,ppl program in HP-UX allows local users to create root files through symlinks.,HIGH,7.2
CVE-1999-1252,Vulnerability in a certain system call in SCO UnixWare 2.0.x and 2.1.0 allows local users to access arbitrary files and gain root privileges.,HIGH,7.2
CVE-1999-0131,Buffer overflow and denial of service in Sendmail 8.7.5 and earlier through GECOS field gives root access to local users.,HIGH,7.2
CVE-1999-1383,"(1) bash before 1.14.7, and (2) tcsh 6.05 allow local users to gain privileges via directory names that contain shell metacharacters (` back-tick), which can cause the commands enclosed in the directory name to be executed when the shell expands filenames using the \w option in the PS1 variable.",MEDIUM,4.6
CVE-1999-1295,"Transarc DCE Distributed File System (DFS) 1.1 for Solaris 2.4 and 2.5 does not properly initialize the grouplist for users who belong to a large number of groups, which could allow those users to gain access to resources that are protected by DFS.",MEDIUM,4.6
CVE-1999-0116,"Denial of service when an attacker sends many SYN packets to create multiple connections without ever sending an ACK to complete the connection, aka SYN flood.",MEDIUM,5.0
CVE-1999-0961,HPUX sysdiag allows local users to gain root privileges via a symlink attack during log file creation.,MEDIUM,6.2
CVE-1999-0206,MIME buffer overflow in Sendmail 8.8.0 and 8.8.1 gives root access.,HIGH,10.0
CVE-1999-0246,HP Remote Watch allows a remote user to gain root access.,HIGH,10.0
CVE-1999-0308,HP-UX gwind program allows users to modify arbitrary files.,MEDIUM,4.6
CVE-1999-0319,Buffer overflow in xmcd 2.1 allows local users to gain access through a user resource setting.,HIGH,7.2
CVE-1999-0234,Bash treats any character with a value of 255 as a command separator.,MEDIUM,4.6
CVE-1999-0075,PASV core dump in wu-ftpd daemon when attacker uses a QUOTE PASV command after specifying a username and password.,MEDIUM,5.0
CVE-1999-0032,"Buffer overflow in lpr, as used in BSD-based systems including Linux, allows local users to execute arbitrary code as root via a long -C (classification) command line option.",HIGH,7.2
CVE-1999-0277,The WorkMan program can be used to overwrite any file to get root access.,HIGH,7.2
CVE-1999-1384,"Indigo Magic System Tour in the SGI system tour package (systour) for IRIX 5.x through 6.3 allows local users to gain root privileges via a Trojan horse .exitops program, which is called by the inst command that is executed by the RemoveSystemTour program.",HIGH,7.2
CVE-1999-0311,fpkg2swpk in HP-UX allows local users to gain root access.,HIGH,7.2
CVE-1999-0336,Buffer overflow in mstm in HP-UX allows local users to gain root access.,HIGH,7.2
CVE-1999-1161,Vulnerability in ppl in HP-UX 10.x and earlier allows local users to gain root privileges by forcing ppl to core dump.,HIGH,7.2
CVE-1999-0130,Local users can start Sendmail in daemon mode and gain root privileges.,HIGH,7.2
CVE-1999-1221,dxchpwd in Digital Unix (OSF/1) 3.x allows local users to modify arbitrary files via a symlink attack on the dxchpwd.log file.,LOW,2.1
CVE-1999-1099,Kerberos 4 allows remote attackers to obtain sensitive information via a malformed UDP packet that generates an error string that inadvertently includes the realm name and the last user.,MEDIUM,5.0
CVE-1999-1240,Buffer overflow in cddbd CD database server allows remote attackers to execute arbitrary commands via a long log message.,HIGH,7.5
CVE-1999-0050,Buffer overflow in HP-UX newgrp program.,HIGH,7.2
CVE-1999-0044,fsdump command in IRIX allows local users to obtain root access by modifying sensitive files.,HIGH,7.2
CVE-1999-0129,Sendmail allows local users to write to a file and gain group permissions via a .forward or :include: file.,MEDIUM,4.6
CVE-1999-0043,"Command execution via shell metachars in INN daemon (innd) 1.5 using ""newgroup"" and ""rmgroup"" control messages, and others.",CRITICAL,9.8
CVE-1999-1401,Vulnerability in Desktop searchbook program in IRIX 5.0.x through 6.2 sets insecure permissions for certain user files (iconbook and searchbook).,MEDIUM,4.6
CVE-1999-0045,List of arbitrary files on Web host via nph-test-cgi script.,HIGH,7.5
CVE-1999-0096,Sendmail decode alias can be used to overwrite sensitive files.,MEDIUM,5.0
CVE-1999-0101,"Buffer overflow in AIX and Solaris ""gethostbyname"" library call allows root access through corrupt DNS host names.",HIGH,10.0
CVE-1999-0297,Buffer overflow in Vixie Cron library up to version 3.0 allows local users to obtain root access via a long environmental variable.,HIGH,7.2
CVE-1999-1089,Buffer overflow in chfn command in HP-UX 9.X through 10.20 allows local users to gain privileges via a long command line argument.,HIGH,7.2
CVE-1999-0128,"Oversized ICMP ping packets can result in a denial of service, aka Ping o' Death.",MEDIUM,5.0
CVE-1999-0127,swinstall and swmodify commands in SD-UX package in HP-UX systems allow local users to create or overwrite arbitrary files to gain root access.,HIGH,7.2
CVE-1999-1385,Buffer overflow in ppp program in FreeBSD 2.1 and earlier allows local users to gain privileges via a long HOME environment variable.,HIGH,7.2
CVE-1999-1026,aspppd on Solaris 2.5 x86 allows local users to modify arbitrary files and gain root privileges via a symlink attack on the /tmp/.asppp.fifo file.,HIGH,7.2
CVE-1999-0260,The jj CGI program allows command execution via shell metacharacters.,HIGH,7.5
CVE-1999-1251,Vulnerability in direct audio user space code on HP-UX 10.20 and 10.10 allows local users to cause a denial of service.,LOW,2.1
CVE-1999-0100,"Remote access in AIX innd 1.5.1, using control messages.",HIGH,10.0
CVE-1999-0163,"In older versions of Sendmail, an attacker could use a pipe character to execute root commands.",HIGH,7.2
CVE-1999-0166,"NFS allows users to use a ""cd .."" command to access other directories besides the exported file system.",MEDIUM,5.0
CVE-1999-0170,"Remote attackers can mount an NFS file system in Ultrix or OSF, even if it is denied on the access list.",HIGH,7.5
CVE-1999-0171,Denial of service in syslog by sending it a large number of superfluous messages.,LOW,2.1
CVE-1999-0173,FormMail CGI program can be used by web servers other than the host server that the program resides on.,MEDIUM,5.0
CVE-1999-0178,Buffer overflow in the win-c-sample program (win-c-sample.exe) in the WebSite web server 1.1e allows remote attackers to execute arbitrary code via a long query string.,HIGH,7.5
CVE-1999-0179,"Windows NT crashes or locks up when a Samba client executes a ""cd .."" command on a file share.",MEDIUM,5.0
CVE-1999-0180,in.rshd allows users to login with a NULL username and execute commands.,HIGH,7.5
CVE-1999-0201,"A quote cwd command on FTP servers can reveal the full path of the home directory of the ""ftp"" user.",MEDIUM,6.4
CVE-1999-0202,"The GNU tar command, when used in FTP sessions, may allow an attacker to execute arbitrary commands.",HIGH,7.5
CVE-1999-0204,"Sendmail 8.6.9 allows remote attackers to execute root commands, using ident.",HIGH,10.0
CVE-1999-0217,Malicious option settings in UDP packets could force a reboot in SunOS 4.1.3 systems.,MEDIUM,5.0
CVE-1999-0236,ScriptAlias directory in NCSA and Apache httpd allowed attackers to read CGI programs.,HIGH,7.5
CVE-1999-0249,Windows NT RSHSVC program allows remote users to execute arbitrary commands.,HIGH,7.2
CVE-1999-0251,Denial of service in talk program allows remote attackers to disrupt a user's display.,MEDIUM,5.0
CVE-1999-0252,Buffer overflow in listserv allows arbitrary command execution.,HIGH,7.5
CVE-1999-0253,IIS 3.0 with the iis-fix hotfix installed allows remote intruders to read source code for ASP programs by using a %2e instead of a . (dot) in the URL.,HIGH,7.5
CVE-1999-0265,ICMP redirect messages may crash or lock up a host.,MEDIUM,5.0
CVE-1999-0274,Denial of service in Windows NT DNS servers through malicious packet which contains a response to a query that wasn't made.,MEDIUM,5.0
CVE-1999-0345,Jolt ICMP attack causes a denial of service in Windows 95 and Windows NT systems.,MEDIUM,5.0
CVE-1999-0496,"A Windows NT 4.0 user can gain administrative rights by forcing NtOpenProcessToken to succeed regardless of the user's permissions, aka GetAdmin.",HIGH,7.2
CVE-1999-0499,NETBIOS share information may be published through SNMP registry keys in NT.,HIGH,7.5
CVE-1999-0503,A Windows NT local user or administrator account has a guessable password.,HIGH,7.2
CVE-1999-0504,"A Windows NT local user or administrator account has a default, null, blank, or missing password.",HIGH,7.5
